BookID,Title,Authors,Category,Price,Quantity
47,Healing Benefits of Garlic,"By Heinerman, John"," Cooking , Specific Ingredients , Herbs, Spices, Condiments",4.99,16.0
48,Me and Ted Against the World : The Unauthorized Story of the Founding of CNN,"By Schonfeld, Reese"," Business & Economics , Management",4.99,16.0
49,Magnet Therapy: The Pain Cure Alternative,"By Lawrence, Ronald Melvin, Plowden, Judith, and Rosch, Paul"," Medical , Holistic Medicine",5.29,16.0
50,Controlling Cholesterol: Dr. Kenneth H. Cooper's Preventative Medicine Program,"By Cooper, Kenneth H."," Health & Fitness , Diet & Nutrition , Food Content Guides",5.29,16.0
51,George Meany And His Times: A Biography,"By Robinson, Archie"," Biography & Autobiography , General",4.99,16.0
52,American Dreams: Lost & Found,"By Terkel, Studs",,10.99,16.0
53,Sharing the Pie : A Citizen's Guide to Wealth and Power,"By Brodner, Steve (ILT) and Brouwer, Steve"," Business & Economics , Economic Conditions",5.29,16.0
54,"Love, Love, and Love","By Bernhard, Sandra",,5.29,16.0
55,Conflicting Accounts: The Creation and Crash of the Saatchi and Saatchi Advertising Empire,"By Goldman, Kevin"," Business & Economics , Advertising & Promotion",5.29,16.0
56,What Went Wrong at Enron: Everyone's Guide to the Largest Bankruptcy in U.S. History,"By Fusaro, Peter C. and Miller, Ross M."," Business & Economics , Finance , General",5.29,16.0
57,"The Addictive Organization: Why We Overwork, Cover Up, Pick Up the Pieces, Please the Boss, and Perpetuate S","By Schaef, Anne Wilson and Fassel, Diane"," Psychology , General",4.99,16.0
58,From the Silent Earth: A Report on the Greek Bronze Age,By Joseph Alsop,,6.22,16.0
59,Panic Disorder and Its Treatment (Medical Psychiatry Series),"By Pollack, Mark H. (EDT) and Rosenbaum, J. F. (EDT)"," Psychology , Psychopathology , General",5.41,16.0
60,Henry VIII (English Monarchs Series),"By Scarisbrick, J. J."," Biography & Autobiography , Military",5.47,16.0
61,The Moral Intelligence of Children,"By Coles, Robert"," Psychology , General",5.29,16.0
62,"Concordance to the New English Bible, New Testament,","By Elder, E",,10.99,16.0
63,Life at the Edge: Readings from Scientific American Magazine,"By Gould, James L. and Gould, Carol Grant (EDT)",,4.99,16.0
64,Cook Healthy: Cook Quick,"By Wesler, Cathy A."," Cooking , Health & Healing , Low Fat",5.18,16.0
65,Images Of War: The Artist's Vision of World War II,"By McCormick, Ken",,10.02,16.0
66,Becoming Soul Mates: Cultivating Spiritual Intimacy in the Early Years of Marriage,"By Parrott, Les"," Family & Relationships , Reference",5.29,16.0
67,Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life,"By Moore, Thomas"," Self-help , General",4.99,16.0
68,Victims of Progress,"By Bodley, John H.",,4.99,16.0
69,Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge,"By Moore, Geoffrey A."," Business & Economics , Marketing , General",5.29,16.0
70,Sunset at Rosalie: A Novel,"By McLaughlin, Ann L."," Fiction , General",5.0,16.0
71,"The Girlfriends' Guide to Surviving the First Year of Motherhood, Packaging May Vary","By Iovine, Vicki"," Family & Relationships , Parenting , Motherhood",4.99,16.0
72,"Sherlock Holmes and the Red Demon by John H. Watson, M.D.","By Watson, John H. and Millett, Larry (EDT)"," Fiction , Mystery & Detective , General",4.99,16.0
73,"New Lands, New Men","By Goetzmann, William H."," Biography & Autobiography , Adventurers & Explorers",10.99,16.0
74,Reinventing Government: How the Entrepreneurial Spirit is Transforming the Public Sector (Plume),"By Osborne, David and Gaebler, Ted"," Political Science , American Government , General",4.99,16.0
75,Proverbs For The People,"By Price-Thompson, Tracy (EDT) and Stovall, Taressa (EDT)"," Fiction , Anthologies (multiple authors)",5.88,16.0
76,Great American Countryside,"By Landi, Val"," Travel , United States , General",10.99,16.0
77,Rob Whitlock: A Pioneer Boy in Old Ohio,"By Jackson, Kathryn",,12.51,16.0
78,British Hospitals (Britain in Pictures),By A. G. L. Ives,,18.0,16.0
79,An essay on morals,"By Wylie, Philip",,4.99,16.0
80,"Kid, You Sing My Songs of Love, and Loss, and Hope","By Wyse, Lois and Rogers, Lilla (ILT)"," Humor , Form , Limericks & Verse",5.29,16.0
81,Re-Inventing the Corporation: Transforming Your Job and Your Company for the New Information Society,"By Naisbitt, John and Aburdene, Patricia"," Business & Economics , General",5.29,16.0
82,A Sister Is Forever: A Blue Mountain Arts Collection for One of the Most Beautiful People You'll Ever Know,"By Morris, Gary (EDT) and Blue Mountain Arts Collection (COR)"," Family & Relationships , Siblings",4.99,16.0
83,The Practical Stylist,"By Baker, Sheridan Warner",,4.99,16.0
84,The Periodic Kingdom: A Journey Into The Land Of The Chemical Elements (Science Masters Series),"By Atkins, P. W."," Science , Applied Sciences",4.99,16.0
85,Titanic,"By Kirkland, Douglas, Marsh, Ed W., and Kirkland, Douglas (PHT)"," Performing Arts , Film , General",8.79,16.0
86,A Woman of Egypt,"By Sadat, Jehan"," Biography & Autobiography , Presidents & Heads of State",8.79,16.0
87,Civilization III: Instruction Manual,"By Meier, Sid",,4.99,16.0
88,"Alcatraz '46;: The anatomy of a classic prison tragedy,","By Don DeNevi, Philip Bergen",,5.29,16.0
89,Elvis in the Morning,"By Buckley, William F."," Fiction , Fantasy , Historical",5.29,16.0
90,"Fat Free, Flavor Full: Dr. Gabe Mirkin's Guide to Losing Weight and Living Longer","By Mirkin, Gabe and Rich, Diana"," Health & Fitness , Diet & Nutrition , Diets",4.99,16.0
91,White Gold Wielder - Book Three of The Second Chronicles of Thomas Covenant,"By Donaldson, Stephen R."," Fiction , Fantasy , General",4.99,16.0
92,From Image to Likeness: A Jungian Path in the Gospel Journey,"By Grant, W. Harold, Thompson, Magdala, and Clarke, Thomas E."," Psychology , Movements , Jungian",4.99,16.0
93,ON THE WING: The Life of Birds: From Feathers to Flight,"By Brooks, Bruce"," Science , General",19.25,16.0
94,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,"By Mezrich, Ben"," Games & Activities , Gambling , Table",4.99,16.0
95,Future Space: Beyond Earth,"By Quigley, Sebastian (ILT) and Jefferis, David",,5.29,16.0
96,"The young Jefferson, 1743-1789,","By Bowers, Claude Gernade",,5.29,16.0
97,"Mayo Clinic On Hearing: Strategies for Managing Hearing Loss, Dizziness and Other Ear Problems (""MAYO CLINIC ON"" SERIES)","By Olsen, Wayne, Ph.D. (EDT)"," Health & Fitness , Hearing & Speech",5.29,16.0
98,"Trust Me, Mom-Everyone Else Is Going!: The New Rules for Mothering Adolescent Girls","By Cohen-Sandler, Roni, Ph.D."," Family & Relationships , Parenting , General",4.99,16.0
99,I Hate School: How to Hang in and When to Drop Out,"By Wirths, Claudine G. and Bowman-Kruhm, Mary"," Young Adult Nonfiction , General",5.29,16.0
100,The Quotable Ronald Reagan,"By Reagan, Ronald and Hannaford, Peter"," Reference , Quotations",5.44,16.0
101,"Rooster crows for day,","By Burman, Ben Lucien",,21.95,16.0
102,Leadership Is an Art,"By De Pree, Max"," Business & Economics , General",4.99,16.0
103,What's Going On?: Personal Essays,"By McCall, Nathan"," Social Science , Ethnic Studies , African American Studies",5.29,16.0
104,Dark Fields of the Republic: Poems 1991-1995,"By Rich, Adrienne Cecile"," Poetry , American , General",5.29,16.0
105,Creating an Inclusive School,"By Villa, Richard A. (EDT) and Thousand, Jacqueline S. (EDT)"," Education , Special Education , General",5.29,16.0
106,Edit Yourself : A manual for everyone who works with words,"By Ross-Larson, Bruce",,5.29,16.0
107,Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,"By Hinckley, Gordon B. and Wallace, Mike (FRW)"," Religion , Christianity , Church of Jesus Christ of Latter-day Saints (Mormon)",4.99,16.0
108,North Carolina Ghosts and Legends,"By Roberts, Nancy"," Social Science , Folklore & Mythology",5.29,16.0
109,Balkan Odyssey a personal account of the international peace efforts following the breakup of the former Yugoslavia,"By Owen, David",,5.12,16.0
110,Straight Talk about Death for Teenagers: How to Cope with Losing Someone You Love,"By Grollman, Earl A."," Young Adult Nonfiction , Social Topics , Death & Dying",8.79,16.0
111,Understanding Thomas Jefferson,"By Halliday, E. M."," Biography & Autobiography , Presidents & Heads of State",4.99,16.0
112,"Hey Mom! I'm Hungry!: Great-Tasting, Low-Fat, Easy Recipes to Feed Your Family","By Powter, Susan"," Cooking , Health & Healing , Low Fat",5.29,16.0
113,"Changes in the Land: Indians, Colonists and the Ecology of New England","By Cronon, William"," Science , Life Sciences , Ecology",4.99,16.0
114,An East Wind Coming,By Arthur Byron Cover,,5.29,16.0
115,Going the Other Way: Lessons from a Life In and Out of Major League Baseball,"By Bean, Billy and Bull, Chris"," Sports & Recreation , Baseball , Essays & Writings",4.99,16.0
116,Consider Your Options: Get the Most from Your Equity Compensation,"By Thomas, Kaye A."," Business & Economics , Personal Finance , General",5.29,16.0
117,Molecular Cell Biology,"By Lodish, Harvey F., Baltimore, David, and Berk, Arnold (CON)"," Science , Life Sciences , Biology",11.44,16.0
118,Majendie's Cat,"By Fowlkes, Frank V.",,5.29,16.0
119,First Things First,"By Covey, Stephen R., Merrill, A. Roger, and Merrill, Rebecca R."," Psychology , General",5.58,16.0
120,Best Friends: The True Story of the World's Most Beloved Animal Sanctuary,"By Glen, Samantha and Moore, Mary Tyler (INT)"," Nature , Animals , General",4.89,16.0
121,"Prudens futuri: The US Army War College, 1901-1967","By Pappas, George S.",,6.24,16.0
122,Joshua: A Parable for Today,"By Girzone, Joseph F.",,5.29,16.0
123,Things Not Seen and Other Stories,"By Williams, Lynna"," Fiction , General",5.29,16.0
124,Putting the One Minute Manager to Work: How to Turn the 3 Secrets into Skills,"By Blanchard, Kenneth H. and Lorber, Robert",,5.29,16.0
125,The Spiritual Life of Children,"By Coles, Robert"," Psychology , Developmental , Child",4.99,16.0
126,Constancia and Other Stories for Virgins,"By Fuentes, Carlos and Christensen, Thomas (TRN)"," Fiction , Short Stories (single author)",5.29,16.0
127,May I Have This Dance?,"By Rupp, Joyce and Veeder, Judith (ILT)"," Religion , Devotional",4.89,16.0
128,"Meditations from Conversations with God: An Uncommon Dialogue, Book 1 (Conversations with God Series)","By Walsch, Neale Donald"," Religion , Meditations",5.29,15.0
129,Washington bowed,"By McKeldin, Theodore R",,16.16,15.0
130,Chagall,"By Compton, Susan P."," Art , General",10.99,15.0
131,Ride a Pale Horse,"By MacInnes, Helen"," Fiction , Mystery & Detective , General",5.29,15.0
132,Listening to Prozac: A Psychiatrist Explores Antidepressant Drugs and the Remaking of the Self,"By Kramer, Peter D."," Psychology , Psychopathology , Depression",4.99,15.0
133,"The Big Garage on Clear Shot: Growing Up, Growing Old, and Going Fishing at the End of the Road","By Bodett, Tom"," Fiction , General",4.99,15.0
134,Life Stories,"By Newbold, Heather (EDT)"," Science , Environmental Science",4.99,15.0
135,Houghton Mifflin Invitations to Literature: Student Anthology Level 1.3 Share 1997 (Invitations to Lit 1997),By Hm (COR)," Juvenile Nonfiction , Language Arts , General",5.94,15.0
136,Grow Greener: Ten Steps to a Richer Life,"By Hoxton, Rob",,5.29,15.0
137,"Frames of Reference: Looking at American Art, 1900-1950: Works from the Whitney Museum of American Art","By Fraser, Kennedy, Whitney Museum of American Art (COR), Weinberg, Adam D., and Venn, Beth"," Art , History , General",6.42,15.0
138,Remembering Main Street: An American Album,"By Ross, Pat"," History , United States , General",10.99,15.0
139,Spicy,"By Hayes, Alan",,4.99,15.0
140,Pope John Paul II,"By Szulc, Tad"," Biography & Autobiography , Religious",4.99,15.0
141,"The Virgin Homeowner: The Essential Guide to Owning, Maintaining, and Surviving Your Home","By Papolos, Janice"," House & Home , Reference",5.29,15.0
142,"Fight Fat After Forty: The Revolutionary Three-Pronged Approach That Will Break Your Stress-Fat Cycle and Make You Healthy, Fit, and Trim for Life","By Peeke, Pamela"," Health & Fitness , Diet & Nutrition , Diets",4.99,15.0
143,Leadership Presence,"By Halpern, Belle Linda and Lubar, Kathy"," Business & Economics , Motivational",5.29,15.0
144,The Golden Christmas Tree,"By Weisgard, Leonard (ILT) and Wahl, Jan"," Juvenile Fiction , General",4.99,15.0
145,The Age of Uncertainty,"By Galbraith, John Kenneth"," Business & Economics , General",10.99,15.0
146,Global Literacies: Lessons on Business Leadership and National Cultures,"By Rosen, Robert (EDT), Digh, Patricia, Singer, Marshall, and Phillips, Carl"," Business & Economics , Management",4.99,15.0
147,Results: The Key to Continuous School Improvement,"By Schmoker, Michael J."," Education , Educational Policy & Reform , General",4.99,15.0
148,Trailside Guide: Fly Fishing,"By Hildebrand, Ron (ILT) and Merwin, John"," Sports & Recreation , Fishing",19.25,15.0
149,I Wish I Had a Red Dress,"By Cleage, Pearl"," Fiction , Literary",5.29,15.0
150,The economics of macro issues,"By Miller, Roger LeRoy",,5.29,15.0
151,Family Guide to Natural Medicine,By Reader's Digest Association," Health & Fitness , Naturopathy",8.79,15.0
152,Killer Diller,"By Edgerton, Clyde",,4.99,15.0
153,Herbal Medicine,"By Buchman, Dian Dincin",,5.29,15.0
154,The Visitation,"By Reidy, Sue"," Fiction , General",5.29,15.0
155,Big Kitchen Instruction Book,"By Zemke, Deborah (ILT) and Brown, Rosemary Carleton"," Cooking , Regional & Ethnic , American , General",7.29,15.0
156,"One World, One Heart",By Susan Polis Schutz,,4.99,15.0
157,Reengineering the Corporation,"By Hammer, Michael and Champy, James"," Business & Economics , Management",5.29,15.0
158,What My Parents Did Right,"By Gaither, Gloria (COM)"," Religion , Christian Life , Family",4.99,15.0
159,The Man's Health Sourcebook,"By Dashe, Alfred M."," Medical , General",5.64,15.0
160,High Tech Illustration,"By Martin, Judy"," Design , Graphic Arts , Illustration",6.12,15.0
161,Chinese Roundabout: Essays in History and Culture,"By Spence, Jonathan D."," Social Science , Customs & Traditions",5.35,15.0
162,"Behind closed doors;: The secret history of the cold war,","By Zacharias, Ellis M",,5.67,15.0
163,"Production & Operations Management : Quality, Performance, and Value","By Evans, James R."," Business & Economics , General",10.99,15.0
164,Shackleton's Boat Journey,"By Worsley, Frank Arthur",,5.29,15.0
165,An Atlas of the Difficult World: Poems 1988-1991,"By Rich, Adrienne Cecile"," Poetry , American , General",4.99,15.0
166,Are You Considering Psychoanalysis?,"By Horney, Karen (EDT)"," Psychology , General",5.29,15.0
167,"The Splendid Century: French Art: 1600-1715 - exhibition at The National Gallery of Art,  The Toledo Museum of Art, The Metropolitan Museum of Art, 1960-1961",By Text by Theodore Rousseau,,4.99,15.0
168,Blue Guide: Oxford and Cambridge (Blue Guides (Only Op)),By Geoffrey Tyack,,5.99,15.0
169,Daughter of Regals & Other Tales,"By Donaldson, Stephen R."," Fiction , Fantasy , General",5.29,15.0
170,Get Thee To a Punnery,"By Lederer, Richard"," Humor , Form , Anecdotes & Quotations",5.29,15.0
171,Too Young to Retire: 101 Ways To Start The Rest of Your Life,"By Stone, Howard and Stone, Marika"," Self-help , Aging",5.29,15.0
172,Zillionaire's Daughter,"By Sorel, Edward",,5.29,15.0
173,Macintosh programming primer,"By Mark, David, Reed, Cartwright",,6.42,15.0
174,Ireland's Women: Writings Past and Present,"By Kennelly, Brendan, Donovan, Katie, and Jeffares, A. Norman"," Fiction , Short Stories (single author)",5.3,15.0
175,Currier and Ives Four Seasons Cookbook,By NATAHANIEL CURRIER and JAMES MERRITT," Cooking , General",4.99,15.0
176,Testimonies: A Novel,"By O'Brian, Patrick"," Fiction , Romance , Historical , General",4.99,15.0
177,"Career Guide: Opportunities and Resources for You (The Ebony Success Library, V. 3)",By Ebony," Business & Economics , General",8.79,15.0
178,The downy waterfowl of North America,By Colleen Helgeson Nelson,,8.51,15.0
179,Cooking for Jack,"By Nicholson, Jack, Baratta, Tommy, Baratta, Marylou, and Nicholson, Jack (INT)"," Cooking , General",4.99,15.0
180,How to Become a Successful Consultant in Your Own Field,By Prima," Business & Economics , Careers , General",4.99,15.0
181,"Sophie Du Pont: A Young Lady in America : Sketches, Diaries, and Letters, 1823-1833","By Low, Betty-Bright and Hinsley, Jacqueline",,8.79,15.0
182,MBO for nonprofit organizations,"By McConkey, Dale D",,4.99,15.0
183,"The Wrinkle Cure: Unlock the Power of Cosmeceuticals for Supple, Youthful Skin","By Perricone, Nicholas"," Health & Fitness , Beauty & Grooming",4.99,15.0
184,Step-By-Step Container Gardening: 50 Recipes for Creating Glorious Pots and Boxes,"By Donaldson, Stephanie"," Gardening , General",5.29,15.0
185,The New Grove Modern Masters (Composer Biography Series),"By Lampert, Vera, Kemp, Ian, White, Eric White",,5.29,15.0
186,City of Gold,"By Deighton, Len",,5.47,15.0
187,Mother of Pearl,"By Haynes, Melinda"," Fiction , Literary",4.99,15.0
188,Icons,"By Winthrop, Caroline"," Fiction , General",5.58,15.0
189,The View from a Monastery,"By Tvedten, Benet"," Religion , Monasticism",4.99,15.0
190,Who Needs God,"By Kushner, Harold S."," Religion , Spirituality",4.99,15.0
191,Loving Thoughts,"By Rice, Helen Steiner"," Poetry , General",4.99,15.0
192,Kirkpatrick Mission (Diplomacy Wo Apology Ame at the United Nations 1981 to 85,"By Gerson, Allan"," Political Science , General",5.29,15.0
193,Bringing up Kids American Style,"By Novello, Joseph",,12.99,15.0
194,Maryland Today,"By Bard, Harry",,21.83,15.0
195,Deployment: Hiding Behind Power Struggles as a Character Defense (Psychoanalytic Therapy Series),"By Moses-Hrushovski, Rena"," Medical , General",4.99,15.0
196,The Final Days,"By Bernstein, Carl and Woodward, Bob"," Philosophy , Ethics & Moral Philosophy",10.99,15.0
197,James Herriot: The Life of a Country Vet,"By Lord, Graham"," Biography & Autobiography , Medical (incl. Patients)",4.99,15.0
198,The Lisle Letters: An Abridgement,"By Byrne, Muriel St. Clare (EDT)"," History , Europe , Great Britain , General",4.99,15.0
199,The White Man's Burden: Historical Origins of Racism in the United States (Galaxy Books),"By Jordan, Winthrop D."," Mathematics , Algebra , General",5.29,15.0
200,WORDS FOR EVERYDAY ANIMALS (Words for Everyday),"By Davenport, Zoe"," Juvenile Fiction , General",17.99,15.0
201,A birthday gift for Mommi,"By Beers, V. Gilbert",,5.86,15.0
202,Vision: A Personal Call to Create a New World,"By Carey, Ken"," Body, Mind & Spirit , General",4.99,15.0
203,"Three Essays: On Liberty, Representative Government, The Subjection of Women","By Mill, John Stuart and Stillinger, Jack (EDT)",,6.66,15.0
204,The Mozart Companion a Symposium by leading Mozart Scholar,"By Landon, Harold R.",,4.99,15.0
205,Joshua and the Children: A Parable,By Joseph F. Girzone,,5.29,15.0
206,Red Square,"By Smith, Martin Cruz"," Fiction , General",4.99,15.0
207,Buffalo Gordon,"By Lewis, J. P. Sinclair"," History , Military , United States",23.11,15.0
208,Certain Poor Shepherds: A Christmas Tale,"By Thomas, Elizabeth Marshall and Davidson, Andrew (ILT)"," Fiction , General",5.29,15.0
209,The New Building Your Mate's Self-Esteem,"By Rainey, Dennis and Rainey, Barbara"," Family & Relationships , Marriage & Long-Term Relationships",4.99,15.0
210,Rogue Regimes: Terrorism and Proliferation,"By Tanter, Raymond"," Political Science , International Relations , Arms Control",58.61,15.0
211,"The Abuse Excuse: And Other Cop-Outs, Sob Stories, and Evasions of Responsibility","By Dershowitz, Alan M."," Social Science , General",5.47,15.0
212,Houghton Mifflin Invitations to Literature: Student Anthology Level 1.4 Surprise 1997 (Invitations to Lit 1997),By Hm (COR)," Juvenile Nonfiction , Language Arts , General",6.12,15.0
213,The Pharaohs of Ancient Egypt (Megascope Series),"By Derouin, Claire",,4.99,15.0
214,1776-1976: Zweihundert Jahre deutsch-amerikanische Beziehungen = two hundred years of German-American relations : eine Dokumentation (German Edition),"By Piltz, Thomas",,10.99,15.0
215,Dannybird,By Philip Macht,,4.99,14.0
216,Technical Manual and Dictionary of Classical Ballet (Dover Books on Dance),"By Grant, Gail"," Performing Arts , Dance , Classical & Ballet",7.71,14.0
217,Life and Death in Shanghai,"By Cheng, Nien"," Biography & Autobiography , Personal Memoirs",5.29,14.0
218,100 Favorite Roses (100 Favorite Series),"By Dunn, Teri"," Gardening , Flowers , Annuals",5.29,14.0
219,All Around The Town,"By Clark, Mary Higgins"," Fiction , Thrillers , Suspense",4.99,14.0
220,New World Visions of Household Gods and Sacred Places: American Art and the Metropolitan Museum of Art 1650-1914,"By Scully, Vincent"," Art , General",13.12,14.0
221,New Stories from the South 2001: The Year's Best,"By Ravenel, Shannon"," Fiction , Southern",5.29,14.0
222,Orchids as House Plants,"By Northen, Rebecca Tyson"," Gardening , Flowers , Orchids",4.99,14.0
223,The History of the American Sailing Navy: The Ships and Their Development,"By Chapelle, Howard Irving",,29.29,14.0
224,"The Experience of Opera (Norton Library, N706)","By Lang, Paul Henry"," Music , Genres & Styles , Opera",5.29,14.0
225,The pattern of Soviet power,"By Snow, Edgar",,5.29,14.0
226,"The World of Science Fiction, 1926-1976: The History of a Subculture","By Del Rey, Lester",,4.99,14.0
227,Passionate Paradox; the Life of Marie Stopes,"By briant, keith",,5.47,14.0
228,The Law,"By Vailland, Roger",,12.99,14.0
229,Horsewatching: Why does a horse whinny and everything else you ever wanted to know,"By Morris, Desmond"," Technology & Engineering , General",4.99,14.0
230,Linda Mccartney's Home Cooking,"By McCartney, Linda"," Cooking , Reference",4.99,14.0
231,Herblock's special for today,"By Block, Herbert",,11.48,14.0
232,Beginners Cookbook (Home Library),By," Cooking , General",6.16,14.0
233,Ghost Light: A Memoir,"By Rich, Frank"," Biography & Autobiography , Entertainment & Performing Arts",5.29,14.0
234,The Sands of Time: A Hermux Tantamoq Adventure,"By Hoeye, Michael"," Young Adult Fiction , Fantasy , General",5.29,14.0
235,Murder at the Pentagon,"By Truman, Margaret"," Fiction , Mystery & Detective , General",4.99,14.0
236,The Goomba's Book of Love,"By Schirripa, Steve and Fleming, Charles"," Humor , General",5.09,14.0
237,Stanley Elkin's Greatest Hits,"By Elkin, Stanley"," Fiction , General",21.95,14.0
238,Griffin & Sabine: An Extraordinary Correspondence,"By Bantock, Nick"," Fiction , Romance , General",5.29,14.0
239,"Wine in Everyday Cooking: ""Cooking with Wine for Family and Friends""","By Ballard, Patricia"," Cooking , Beverages , Wine & Spirits",5.29,14.0
240,Leading Lady: The World and Theatre of Katharine Cornell,"By Mosel, Ted",,10.99,14.0
241,Invasion of the Mind Swappers From Asteroid 6!,"By Helquist, Brett (ILT) and Howe, James"," Juvenile Fiction , Readers , Chapter Books",5.29,14.0
242,The march of democracy,"By Adams, James Truslow",,5.54,14.0
243,Einstein's Monsters,"By Amis, Martin"," Fiction , General",15.4,14.0
